iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
2550,167182336,4.1071,,,0.000253,55904,5.63,0.0000,,,,,
2560,167837696,4.3295,,,0.000253,55785,5.66,0.0000,,,,,
2570,168493056,4.3229,,,0.000252,55739,5.69,0.0000,,,,,
2580,169148416,4.3842,,,0.000252,124695,6.44,0.0000,,,,,
2590,169803776,4.2526,,,0.000251,55736,6.39,0.0000,,,,,
2600,170459136,4.5019,,,0.000251,56505,6.35,0.0000,,,,,
2610,171114496,4.0252,,,0.000251,55697,6.30,0.0000,,,,,
2620,171769856,4.2433,,,0.000250,55766,6.26,0.0000,,,,,
2630,172425216,4.2296,,,0.000250,55671,6.23,0.0000,,,,,
2640,173080576,4.3359,,,0.000249,55585,6.19,0.0000,,,,,
2650,173735936,4.3243,,,0.000249,55666,6.16,0.0000,,,,,
2660,174391296,4.4256,,,0.000248,55816,6.14,0.0000,,,,,
2670,175046656,4.2719,,,0.000248,55719,6.12,0.0000,,,,,
2680,175702016,4.1902,,,0.000248,56144,6.10,0.0000,,,,,
2690,176357376,4.1727,,,0.000247,55881,6.08,0.0000,,,,,
2700,177012736,4.0522,,,0.000247,55722,6.06,0.0000,,,,,
2710,177668096,4.1871,,,0.000246,55637,6.05,0.0000,,,,,
2720,178323456,4.2277,,,0.000246,55686,6.03,0.0000,,,,,
2730,178978816,4.2560,,,0.000245,56011,6.02,0.0000,,,,,
2740,179634176,4.1774,,,0.000245,55763,6.01,0.0000,,,,,
2750,180289536,4.2950,,,0.000244,55682,6.00,0.0000,,,,,
2760,180944896,4.1692,,,0.000244,56666,6.00,0.0000,,,,,
2770,181600256,4.1970,,,0.000243,56285,6.00,0.0000,,,,,
2780,182255616,4.3668,,,0.000243,55927,5.99,0.0000,,,,,
2790,182910976,4.2409,,,0.000243,55748,5.98,0.0000,,,,,
2800,183566336,4.2084,,,0.000242,55736,5.98,0.0000,,,,,
2810,184221696,4.3465,,,0.000242,55760,5.97,0.0000,,,,,
2820,184877056,4.2540,,,0.000241,55629,5.96,0.0000,,,,,
2830,185532416,4.1753,,,0.000241,55759,5.96,0.0000,,,,,
2840,186187776,4.1549,,,0.000240,55821,5.95,0.0000,,,,,
2850,186843136,4.1787,,,0.000240,55755,5.95,0.0000,,,,,
2860,187498496,4.2639,,,0.000239,55825,5.94,0.0000,,,,,
2870,188153856,4.4789,,,0.000239,55764,5.94,0.0000,,,,,
2880,188809216,4.4153,,,0.000238,55575,5.94,0.0000,,,,,
2890,189464576,4.1245,,,0.000238,55863,5.93,0.0000,,,,,
2900,190119936,4.1726,,,0.000237,55636,5.93,0.0000,,,,,
2910,190775296,4.4039,,,0.000237,55858,5.93,0.0000,,,,,
2920,191430656,4.3661,,,0.000236,55772,5.93,0.0000,,,,,
2930,192086016,4.3199,,,0.000236,55909,5.93,0.0000,,,,,
2940,192741376,3.9758,,,0.000235,55770,5.93,0.0000,,,,,
2950,193396736,4.2258,,,0.000235,55697,5.92,0.0000,,,,,
2960,194052096,4.2957,,,0.000234,55732,5.92,0.0000,,,,,
2970,194707456,4.4950,,,0.000234,55951,5.92,0.0000,,,,,
2980,195362816,4.2234,,,0.000233,55805,5.92,0.0000,,,,,
