iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
1810,118685696,4.2977,,,0.000280,87169,20.77,0.0000,,,,,
1820,119341056,4.1724,,,0.000280,86984,20.77,0.0000,,,,,
1830,119996416,4.3053,,,0.000280,87268,20.78,0.0000,,,,,
1840,120651776,4.1052,,,0.000279,87214,20.79,0.0000,,,,,
1850,121307136,4.0127,,,0.000279,87068,20.79,0.0000,,,,,
1860,121962496,4.0574,,,0.000279,87234,20.80,0.0000,,,,,
1870,122617856,4.3433,,,0.000278,87317,20.81,0.0000,,,,,
1880,123273216,4.1089,,,0.000278,87133,20.81,0.0000,,,,,
1890,123928576,4.2485,,,0.000278,87148,20.81,0.0000,,,,,
1900,124583936,4.1639,,,0.000277,87176,20.82,0.0000,,,,,
1910,125239296,4.1740,,,0.000277,87223,20.82,0.0000,,,,,
1920,125894656,4.3156,,,0.000277,87316,20.83,0.0000,,,,,
1930,126550016,4.1936,,,0.000276,87003,20.82,0.0000,,,,,
1940,127205376,4.1627,,,0.000276,87328,20.83,0.0000,,,,,
1950,127860736,4.1717,,,0.000276,87124,20.83,0.0000,,,,,
1960,128516096,4.1084,,,0.000276,86954,20.83,0.0000,,,,,
1970,129171456,4.3533,,,0.000275,87402,20.83,0.0000,,,,,
1980,129826816,4.0608,,,0.000275,87039,20.83,0.0000,,,,,
1990,130482176,4.1886,,,0.000275,87253,20.83,0.0000,,,,,
2000,131072000,4.1730,4.3003,73.72,0.000274,,20.83,,,,,,
2000,131137536,4.1484,,,0.000274,7437,18.93,0.0000,,,,,
2010,131792896,4.1690,,,0.000274,87071,19.12,0.0000,,,,,
2020,132448256,4.1055,,,0.000274,87482,19.30,0.0000,,,,,
2030,133103616,4.1189,,,0.000273,86655,19.44,0.0000,,,,,
2040,133758976,3.9302,,,0.000273,87188,19.58,0.0000,,,,,
2050,134414336,4.1725,,,0.000273,87465,19.71,0.0000,,,,,
2060,135069696,3.9541,,,0.000272,87079,19.82,0.0000,,,,,
2070,135725056,4.2037,,,0.000272,87321,19.93,0.0000,,,,,
2080,136380416,4.1359,,,0.000271,87073,20.02,0.0000,,,,,
